season,team,new_hc,hc_tenure
2015,Wisconsin,1,0
2015,Wyoming,0,1
2016,Air Force,0,4
2016,Akron,0,4
2016,Alabama,0,4
2016,App State,0,2
2016,Arizona,0,4
2016,Arizona State,0,4
2016,Arkansas,0,3
2016,Arkansas State,0,2
2016,Army,0,2
2016,Auburn,0,3
2016,BYU,1,0
2016,Ball State,1,0
2016,Baylor,1,0
2016,Boise State,0,2
2016,Boston College,0,3
2016,Bowling Green,1,0
2016,Buffalo,0,1
2016,California,0,3
2016,Central Michigan,0,1
2016,Charlotte,0,1
2016,Cincinnati,0,3
2016,Clemson,0,4
2016,Coastal Carolina,0,0
2016,Colorado,0,3
2016,Colorado State,0,1
2016,Delaware,0,0
2016,Duke,0,4
2016,East Carolina,1,0
2016,Eastern Michigan,0,2
2016,Florida,0,1
2016,Florida Atlantic,0,2
2016,Florida International,0,3
2016,Florida State,0,4
2016,Fresno State,1,0
2016,Georgia,1,0
2016,Georgia Southern,1,0
2016,Georgia State,0,3
2016,Georgia Tech,0,4
2016,Hawai'i,1,0
2016,Houston,0,1
2016,Idaho,0,3
2016,Illinois,1,0
2016,Indiana,0,4
2016,Iowa,0,4
2016,Iowa State,1,0
2016,Jacksonville State,0,0
2016,James Madison,0,0
2016,Kansas,0,1
2016,Kansas State,0,4
2016,Kennesaw State,0,0
2016,Kent State,0,3
2016,Kentucky,0,3
2016,LSU,1,0
2016,Liberty,0,0
2016,Louisiana,0,4
2016,Louisiana Tech,0,3
2016,Louisville,0,2
2016,Marshall,0,4
2016,Maryland,1,0
2016,Massachusetts,0,2
2016,Memphis,1,0
2016,Miami,1,0
2016,Miami (OH),0,2
2016,Michigan,0,1
2016,Michigan State,0,4
2016,Middle Tennessee,0,4
2016,Minnesota,1,0
2016,Mississippi State,0,4
2016,Missouri,1,0
2016,Missouri State,0,0
2016,NC State,0,3
2016,Navy,0,4
2016,Nebraska,0,1
2016,Nevada,0,3
2016,New Mexico,0,4
2016,New Mexico State,0,3
2016,North Carolina,0,4
2016,North Dakota State,0,0
2016,North Texas,1,0
2016,Northern Illinois,0,3
2016,Northwestern,0,4
2016,Notre Dame,0,4
2016,Ohio,0,4
2016,Ohio State,0,4
2016,Oklahoma,0,4
2016,Oklahoma State,0,4
2016,Old Dominion,0,2
2016,Ole Miss,0,4
2016,Oregon,0,3
2016,Oregon State,0,1
2016,Penn State,0,2
2016,Pittsburgh,0,1
2016,Purdue,1,0
2016,Rice,0,4
2016,Rutgers,1,0
2016,SMU,0,1
2016,Sacramento State,0,0
2016,Sam Houston,0,0
2016,San Diego State,0,4
2016,San José State,0,3
2016,South Alabama,0,4
2016,South Carolina,1,0
2016,South Florida,0,3
2016,Southern Miss,1,0
2016,Stanford,0,4
2016,Syracuse,1,0
2016,TCU,0,4
2016,Temple,0,3
2016,Tennessee,0,3
2016,Texas,0,2
2016,Texas A&M,0,4
2016,Texas State,1,0
2016,Texas Tech,0,3
2016,Toledo,0,1
2016,Troy,0,1
2016,Tulane,1,0
2016,Tulsa,0,1
2016,UAB,0,0
2016,UCF,1,0
2016,UCLA,0,4
2016,UConn,0,2
2016,UL Monroe,1,0
2016,UNLV,0,1
2016,USC,0,1
2016,UTEP,0,3
2016,UTSA,1,0
2016,Utah,0,4
2016,Utah State,0,3
2016,Vanderbilt,0,2
2016,Virginia,1,0
2016,Virginia Tech,1,0
2016,Wake Forest,0,2
2016,Washington,0,2
2016,Washington State,0,4
2016,West Virginia,0,4
2016,Western Kentucky,0,2
2016,Western Michigan,0,3
2016,Wisconsin,0,1
2016,Wyoming,0,2
2017,Air Force,0,5
2017,Akron,0,5
2017,Alabama,0,5
2017,App State,0,3
2017,Arizona,0,5
2017,Arizona State,0,5
2017,Arkansas,0,4
2017,Arkansas State,0,3
2017,Army,0,3
2017,Auburn,0,4
2017,BYU,0,1
2017,Ball State,0,1
2017,Baylor,1,0
2017,Boise State,0,3
2017,Boston College,0,4
2017,Bowling Green,0,1
2017,Buffalo,0,2
2017,California,1,0
2017,Central Michigan,0,2
2017,Charlotte,0,2
2017,Cincinnati,1,0
2017,Clemson,0,5
2017,Coastal Carolina,1,0
2017,Colorado,0,4
2017,Colorado State,0,2
2017,Delaware,0,0
2017,Duke,0,5
2017,East Carolina,0,1
2017,Eastern Michigan,0,3
2017,Florida,1,0
2017,Florida Atlantic,1,0
2017,Florida International,1,0
2017,Florida State,1,0
2017,Fresno State,1,0
2017,Georgia,0,1
2017,Georgia Southern,0,1
2017,Georgia State,1,0
2017,Georgia Tech,0,5
2017,Hawai'i,0,1
2017,Houston,1,0
2017,Idaho,0,4
2017,Illinois,0,1
2017,Indiana,1,0
2017,Iowa,0,5
2017,Iowa State,0,1
2017,Jacksonville State,0,0
2017,James Madison,0,0
2017,Kansas,0,2
2017,Kansas State,0,5
2017,Kennesaw State,0,0
2017,Kent State,0,4
2017,Kentucky,0,4
2017,LSU,0,1
2017,Liberty,0,0
2017,Louisiana,0,5
2017,Louisiana Tech,0,4
2017,Louisville,0,3
2017,Marshall,0,5
2017,Maryland,0,1
2017,Massachusetts,0,3
2017,Memphis,0,1
2017,Miami,0,1
2017,Miami (OH),0,3
2017,Michigan,0,2
2017,Michigan State,0,5
2017,Middle Tennessee,0,5
2017,Minnesota,1,0
2017,Mississippi State,0,5
2017,Missouri,0,1
2017,Missouri State,0,0
2017,NC State,0,4
2017,Navy,0,5
2017,Nebraska,0,2
2017,Nevada,1,0
2017,New Mexico,0,5
2017,New Mexico State,0,4
2017,North Carolina,0,5
2017,North Dakota State,0,0
2017,North Texas,0,1
2017,Northern Illinois,0,4
2017,Northwestern,0,5
2017,Notre Dame,0,5
2017,Ohio,0,5
2017,Ohio State,0,5
2017,Oklahoma,1,0
2017,Oklahoma State,0,5
2017,Old Dominion,0,3
2017,Ole Miss,1,0
2017,Oregon,1,0
2017,Oregon State,1,0
2017,Penn State,0,3
2017,Pittsburgh,0,2
2017,Purdue,1,0
2017,Rice,0,5
2017,Rutgers,0,1
2017,SMU,0,2
2017,Sacramento State,0,0
2017,Sam Houston,0,0
2017,San Diego State,0,5
2017,San José State,1,0
2017,South Alabama,0,5
2017,South Carolina,0,1
2017,South Florida,1,0
2017,Southern Miss,0,1
2017,Stanford,0,5
2017,Syracuse,0,1
2017,TCU,0,5
2017,Temple,1,0
2017,Tennessee,0,4
2017,Texas,1,0
2017,Texas A&M,0,5
2017,Texas State,0,1
2017,Texas Tech,0,4
2017,Toledo,0,2
2017,Troy,0,2
2017,Tulane,0,1
2017,Tulsa,0,2
2017,UAB,1,0
2017,UCF,0,1
2017,UCLA,0,5
2017,UConn,1,0
2017,UL Monroe,0,1
2017,UNLV,0,2
2017,USC,0,2
2017,UTEP,1,0
2017,UTSA,0,1
2017,Utah,0,5
2017,Utah State,0,4
2017,Vanderbilt,0,3
2017,Virginia,0,1
2017,Virginia Tech,0,1
2017,Wake Forest,0,3
2017,Washington,0,3
2017,Washington State,0,5
2017,West Virginia,0,5
2017,Western Kentucky,1,0
2017,Western Michigan,1,0
2017,Wisconsin,0,2
2017,Wyoming,0,3
2018,Air Force,0,6
2018,Akron,0,6
2018,Alabama,0,6
2018,App State,0,4
2018,Arizona,1,0
2018,Arizona State,1,0
2018,Arkansas,1,0
2018,Arkansas State,0,4
2018,Army,0,4
2018,Auburn,0,5
2018,BYU,0,2
2018,Ball State,0,2
2018,Baylor,0,1
2018,Boise State,0,4
2018,Boston College,0,5
2018,Bowling Green,1,0
2018,Buffalo,0,3
2018,California,0,1
2018,Central Michigan,0,3
2018,Charlotte,0,3
2018,Cincinnati,0,1
2018,Clemson,0,6
2018,Coastal Carolina,1,0
2018,Colorado,1,0
2018,Colorado State,0,3
2018,Delaware,0,0
2018,Duke,0,6
2018,East Carolina,0,2
2018,Eastern Michigan,0,4
2018,Florida,1,0
2018,Florida Atlantic,0,1
2018,Florida International,0,1
2018,Florida State,1,0
2018,Fresno State,0,1
2018,Georgia,0,2
2018,Georgia Southern,1,0
2018,Georgia State,0,1
2018,Georgia Tech,0,6
2018,Hawai'i,0,2
2018,Houston,0,1
2018,Idaho,0,0
2018,Illinois,0,2
2018,Indiana,0,1
2018,Iowa,0,6
2018,Iowa State,0,2
2018,Jacksonville State,0,0
2018,James Madison,0,0
2018,Kansas,0,3
2018,Kansas State,0,6
2018,Kennesaw State,0,0
2018,Kent State,1,0
2018,Kentucky,0,5
2018,LSU,0,2
2018,Liberty,1,0
2018,Louisiana,1,0
2018,Louisiana Tech,0,5
2018,Louisville,1,0
2018,Marshall,0,6
2018,Maryland,1,0
2018,Massachusetts,0,4
2018,Memphis,0,2
2018,Miami,0,2
2018,Miami (OH),0,4
2018,Michigan,0,3
2018,Michigan State,0,6
2018,Middle Tennessee,0,6
2018,Minnesota,0,1
2018,Mississippi State,1,0
2018,Missouri,0,2
2018,Missouri State,0,0
2018,NC State,0,5
2018,Navy,0,6
2018,Nebraska,1,0
2018,Nevada,0,1
2018,New Mexico,0,6
2018,New Mexico State,0,5
2018,North Carolina,0,6
2018,North Dakota State,0,0
2018,North Texas,0,2
2018,Northern Illinois,0,5
2018,Northwestern,0,6
2018,Notre Dame,0,6
2018,Ohio,0,6
2018,Ohio State,0,6
2018,Oklahoma,0,1
2018,Oklahoma State,0,6
2018,Old Dominion,0,4
2018,Ole Miss,0,1
2018,Oregon,1,0
2018,Oregon State,1,0
2018,Penn State,0,4
2018,Pittsburgh,0,3
2018,Purdue,0,1
2018,Rice,1,0
2018,Rutgers,0,2
2018,SMU,1,0
2018,Sacramento State,0,0
2018,Sam Houston,0,0
2018,San Diego State,0,6
2018,San José State,0,1
2018,South Alabama,1,0
2018,South Carolina,0,2
2018,South Florida,0,1
2018,Southern Miss,0,2
2018,Stanford,0,6
2018,Syracuse,0,2
2018,TCU,0,6
2018,Temple,1,0
2018,Tennessee,1,0
2018,Texas,0,1
2018,Texas A&M,1,0
2018,Texas State,1,0
2018,Texas Tech,0,5
2018,Toledo,0,3
2018,Troy,0,3
2018,Tulane,0,2
2018,Tulsa,0,3
2018,UAB,0,1
2018,UCF,1,0
2018,UCLA,1,0
2018,UConn,0,1
2018,UL Monroe,0,2
2018,UNLV,0,3
2018,USC,0,3
2018,UTEP,1,0
2018,UTSA,0,2
2018,Utah,0,6
2018,Utah State,0,5
2018,Vanderbilt,0,4
2018,Virginia,0,2
2018,Virginia Tech,0,2
2018,Wake Forest,0,4
2018,Washington,0,4
2018,Washington State,0,6
2018,West Virginia,0,6
2018,Western Kentucky,0,1
2018,Western Michigan,0,1
2018,Wisconsin,0,3
2018,Wyoming,0,4
2019,Air Force,0,7
2019,Akron,1,0
2019,Alabama,0,7
2019,App State,1,0
2019,Arizona,0,1
2019,Arizona State,0,1
2019,Arkansas,0,1
2019,Arkansas State,0,5
2019,Army,0,5
2019,Auburn,0,6
2019,BYU,0,3
2019,Ball State,0,3
2019,Baylor,0,2
2019,Boise State,0,5
2019,Boston College,0,6
2019,Bowling Green,1,0
2019,Buffalo,0,4
2019,California,0,2
2019,Central Michigan,1,0
2019,Charlotte,1,0
2019,Cincinnati,0,2
2019,Clemson,0,7
2019,Coastal Carolina,1,0
2019,Colorado,1,0
2019,Colorado State,0,4
2019,Delaware,0,0
2019,Duke,0,7
2019,East Carolina,1,0
2019,Eastern Michigan,0,5
2019,Florida,0,1
2019,Florida Atlantic,0,2
2019,Florida International,0,2
2019,Florida State,0,1
2019,Fresno State,0,2
2019,Georgia,0,3
2019,Georgia Southern,0,1
2019,Georgia State,0,2
2019,Georgia Tech,1,0
2019,Hawai'i,0,3
2019,Houston,1,0
2019,Idaho,0,0
2019,Illinois,0,3
2019,Indiana,0,2
2019,Iowa,0,7
2019,Iowa State,0,3
2019,Jacksonville State,0,0
2019,James Madison,0,0
2019,Kansas,1,0
2019,Kansas State,1,0
2019,Kennesaw State,0,0
2019,Kent State,0,1
2019,Kentucky,0,6
2019,LSU,0,3
2019,Liberty,1,0
2019,Louisiana,0,1
2019,Louisiana Tech,0,6
2019,Louisville,1,0
2019,Marshall,0,7
2019,Maryland,1,0
2019,Massachusetts,1,0
2019,Memphis,0,3
2019,Miami,1,0
2019,Miami (OH),0,5
2019,Michigan,0,4
2019,Michigan State,0,7
2019,Middle Tennessee,0,7
2019,Minnesota,0,2
2019,Mississippi State,0,1
2019,Missouri,0,3
2019,Missouri State,0,0
2019,NC State,0,6
2019,Navy,0,7
2019,Nebraska,0,1
2019,Nevada,0,2
2019,New Mexico,0,7
2019,New Mexico State,0,6
2019,North Carolina,1,0
2019,North Dakota State,0,0
2019,North Texas,0,3
2019,Northern Illinois,1,0
2019,Northwestern,0,7
2019,Notre Dame,0,7
2019,Ohio,0,7
2019,Ohio State,1,0
2019,Oklahoma,0,2
2019,Oklahoma State,0,7
2019,Old Dominion,0,5
2019,Ole Miss,0,2
2019,Oregon,0,1
2019,Oregon State,0,1
2019,Penn State,0,5
2019,Pittsburgh,0,4
2019,Purdue,0,2
2019,Rice,0,1
2019,Rutgers,1,0
2019,SMU,0,1
2019,Sacramento State,0,0
2019,Sam Houston,0,0
2019,San Diego State,0,7
2019,San José State,0,2
2019,South Alabama,0,1
2019,South Carolina,0,3
2019,South Florida,0,2
2019,Southern Miss,0,3
2019,Stanford,0,7
2019,Syracuse,0,3
2019,TCU,0,7
2019,Temple,1,0
2019,Tennessee,0,1
2019,Texas,0,2
2019,Texas A&M,0,1
2019,Texas State,1,0
2019,Texas Tech,1,0
2019,Toledo,0,4
2019,Troy,1,0
2019,Tulane,0,3
2019,Tulsa,0,4
2019,UAB,0,2
2019,UCF,0,1
2019,UCLA,0,1
2019,UConn,0,2
2019,UL Monroe,0,3
2019,UNLV,0,4
2019,USC,0,4
2019,UTEP,0,1
2019,UTSA,0,3
2019,Utah,0,7
2019,Utah State,1,0
2019,Vanderbilt,0,5
2019,Virginia,0,3
2019,Virginia Tech,0,3
2019,Wake Forest,0,5
2019,Washington,0,5
2019,Washington State,0,7
2019,West Virginia,1,0
2019,Western Kentucky,1,0
2019,Western Michigan,0,2
2019,Wisconsin,0,4
2019,Wyoming,0,5
2020,Air Force,0,8
2020,Akron,0,1
2020,Alabama,0,8
2020,App State,1,0
2020,Arizona,0,2
2020,Arizona State,0,2
2020,Arkansas,1,0
2020,Arkansas State,0,6
2020,Army,0,6
2020,Auburn,1,0
2020,BYU,0,4
2020,Ball State,0,4
2020,Baylor,1,0
2020,Boise State,0,6
2020,Boston College,1,0
2020,Bowling Green,0,1
2020,Buffalo,0,5
2020,California,0,3
2020,Central Michigan,0,1
2020,Charlotte,0,1
2020,Cincinnati,0,3
2020,Clemson,0,8
2020,Coastal Carolina,0,1
2020,Colorado,1,0
2020,Colorado State,1,0
2020,Delaware,0,0
2020,Duke,0,8
2020,East Carolina,0,1
2020,Eastern Michigan,0,6
2020,Florida,0,2
2020,Florida Atlantic,1,0
2020,Florida International,0,3
2020,Florida State,1,0
2020,Fresno State,1,0
2020,Georgia,0,4
2020,Georgia Southern,0,2
2020,Georgia State,0,3
2020,Georgia Tech,0,1
2020,Hawai'i,1,0
2020,Houston,0,1
2020,Idaho,0,0
2020,Illinois,1,0
2020,Indiana,0,3
2020,Iowa,0,8
2020,Iowa State,0,4
2020,Jacksonville State,0,0
2020,James Madison,0,0
2020,Kansas,0,1
2020,Kansas State,0,1
2020,Kennesaw State,0,0
2020,Kent State,0,2
2020,Kentucky,0,7
2020,LSU,0,4
2020,Liberty,0,1
2020,Louisiana,0,2
2020,Louisiana Tech,0,7
2020,Louisville,0,1
2020,Marshall,0,8
2020,Maryland,0,1
2020,Massachusetts,0,1
2020,Memphis,1,0
2020,Miami,0,1
2020,Miami (OH),0,6
2020,Michigan,0,5
2020,Michigan State,1,0
2020,Middle Tennessee,0,8
2020,Minnesota,0,3
2020,Mississippi State,1,0
2020,Missouri,1,0
2020,Missouri State,0,0
2020,NC State,0,7
2020,Navy,0,8
2020,Nebraska,0,2
2020,Nevada,0,3
2020,New Mexico,1,0
2020,New Mexico State,0,7
2020,North Carolina,0,1
2020,North Dakota State,0,0
2020,North Texas,0,4
2020,Northern Illinois,0,1
2020,Northwestern,0,8
2020,Notre Dame,0,8
2020,Ohio,0,8
2020,Ohio State,0,1
2020,Oklahoma,0,3
2020,Oklahoma State,0,8
2020,Old Dominion,1,0
2020,Ole Miss,1,0
2020,Oregon,0,2
2020,Oregon State,0,2
2020,Penn State,0,6
2020,Pittsburgh,0,5
2020,Purdue,0,3
2020,Rice,0,2
2020,Rutgers,1,0
2020,SMU,0,2
2020,Sacramento State,0,0
2020,Sam Houston,0,0
2020,San Diego State,1,0
2020,San José State,0,3
2020,South Alabama,0,2
2020,South Carolina,0,4
2020,South Florida,1,0
2020,Southern Miss,1,0
2020,Stanford,0,8
2020,Syracuse,0,4
2020,TCU,0,8
2020,Temple,0,1
2020,Tennessee,0,2
2020,Texas,0,3
2020,Texas A&M,0,2
2020,Texas State,0,1
2020,Texas Tech,0,1
2020,Toledo,0,5
2020,Troy,0,1
2020,Tulane,0,4
2020,Tulsa,0,5
2020,UAB,0,3
2020,UCF,0,2
2020,UCLA,0,2
2020,UConn,0,3
2020,UL Monroe,0,4
2020,UNLV,1,0
2020,USC,0,5
2020,UTEP,0,2
2020,UTSA,1,0
2020,Utah,0,8
2020,Utah State,1,0
2020,Vanderbilt,0,6
2020,Virginia,0,4
2020,Virginia Tech,0,4
2020,Wake Forest,0,6
2020,Washington,1,0
2020,Washington State,1,0
2020,West Virginia,0,1
2020,Western Kentucky,0,1
2020,Western Michigan,0,3
2020,Wisconsin,0,5
2020,Wyoming,0,6
2021,Air Force,0,9
2021,Akron,1,0
2021,Alabama,0,9
2021,App State,0,1
2021,Arizona,1,0
2021,Arizona State,0,3
2021,Arkansas,0,1
2021,Arkansas State,1,0
2021,Army,0,7
2021,Auburn,1,0
2021,BYU,0,5
2021,Ball State,0,5
2021,Baylor,0,1
2021,Boise State,1,0
2021,Boston College,0,1
2021,Bowling Green,0,2
2021,Buffalo,1,0
2021,California,0,4
2021,Central Michigan,0,2
2021,Charlotte,0,2
2021,Cincinnati,0,4
2021,Clemson,0,9
2021,Coastal Carolina,0,2
2021,Colorado,0,1
2021,Colorado State,0,1
2021,Delaware,0,0
2021,Duke,0,9
2021,East Carolina,0,2
2021,Eastern Michigan,0,7
2021,Florida,0,3
2021,Florida Atlantic,0,1
2021,Florida International,0,4
2021,Florida State,0,1
2021,Fresno State,1,0
2021,Georgia,0,5
2021,Georgia Southern,1,0
2021,Georgia State,0,4
2021,Georgia Tech,0,2
2021,Hawai'i,0,1
2021,Houston,0,2
2021,Idaho,0,0
2021,Illinois,1,0
2021,Indiana,0,4
2021,Iowa,0,9
2021,Iowa State,0,5
2021,Jacksonville State,0,0
2021,James Madison,0,0
2021,Kansas,1,0
2021,Kansas State,0,2
2021,Kennesaw State,0,0
2021,Kent State,0,3
2021,Kentucky,0,8
2021,LSU,0,5
2021,Liberty,0,2
2021,Louisiana,0,3
2021,Louisiana Tech,0,8
2021,Louisville,0,2
2021,Marshall,1,0
2021,Maryland,0,2
2021,Massachusetts,1,0
2021,Memphis,0,1
2021,Miami,1,0
2021,Miami (OH),0,7
2021,Michigan,0,6
2021,Michigan State,0,1
2021,Middle Tennessee,0,9
2021,Minnesota,0,4
2021,Mississippi State,0,1
2021,Missouri,0,1
2021,Missouri State,0,0
2021,NC State,0,8
2021,Navy,0,9
2021,Nebraska,0,3
2021,Nevada,1,0
2021,New Mexico,0,1
2021,New Mexico State,0,8
2021,North Carolina,0,2
2021,North Dakota State,0,0
2021,North Texas,0,5
2021,Northern Illinois,0,2
2021,Northwestern,0,9
2021,Notre Dame,0,9
2021,Ohio,1,0
2021,Ohio State,0,2
2021,Oklahoma,1,0
2021,Oklahoma State,0,9
2021,Old Dominion,0,1
2021,Ole Miss,0,1
2021,Oregon,1,0
2021,Oregon State,0,3
2021,Penn State,0,7
2021,Pittsburgh,0,6
2021,Purdue,0,4
2021,Rice,0,3
2021,Rutgers,0,1
2021,SMU,1,0
2021,Sacramento State,0,0
2021,Sam Houston,0,0
2021,San Diego State,0,1
2021,San José State,0,4
2021,South Alabama,1,0
2021,South Carolina,1,0
2021,South Florida,0,1
2021,Southern Miss,1,0
2021,Stanford,0,9
2021,Syracuse,0,5
2021,TCU,0,9
2021,Temple,0,2
2021,Tennessee,1,0
2021,Texas,1,0
2021,Texas A&M,0,3
2021,Texas State,0,2
2021,Texas Tech,0,2
2021,Toledo,0,6
2021,Troy,0,2
2021,Tulane,0,5
2021,Tulsa,0,6
2021,UAB,0,4
2021,UCF,1,0
2021,UCLA,0,3
2021,UConn,1,0
2021,UL Monroe,1,0
2021,UNLV,0,1
2021,USC,1,0
2021,UTEP,0,3
2021,UTSA,0,1
2021,Utah,0,9
2021,Utah State,1,0
2021,Vanderbilt,1,0
2021,Virginia,0,5
2021,Virginia Tech,1,0
2021,Wake Forest,0,7
2021,Washington,0,1
2021,Washington State,0,1
2021,West Virginia,0,2
2021,Western Kentucky,0,2
2021,Western Michigan,0,4
2021,Wisconsin,0,6
2021,Wyoming,0,7
2022,Air Force,0,10
2022,Akron,1,0
2022,Alabama,0,10
2022,App State,0,2
2022,Arizona,0,1
2022,Arizona State,0,4
2022,Arkansas,0,2
2022,Arkansas State,0,1
2022,Army,0,8
2022,Auburn,1,0
2022,BYU,0,6
2022,Ball State,0,6
2022,Baylor,0,2
2022,Boise State,0,1
2022,Boston College,0,2
2022,Bowling Green,0,3
2022,Buffalo,0,1
2022,California,0,5
2022,Central Michigan,0,3
2022,Charlotte,1,0
2022,Cincinnati,0,5
2022,Clemson,0,10
2022,Coastal Carolina,1,0
2022,Colorado,1,0
2022,Colorado State,1,0
2022,Delaware,0,0
2022,Duke,1,0
2022,East Carolina,0,3
2022,Eastern Michigan,0,8
2022,Florida,1,0
2022,Florida Atlantic,0,2
2022,Florida International,1,0
2022,Florida State,0,2
2022,Fresno State,1,0
2022,Georgia,0,6
2022,Georgia Southern,1,0
2022,Georgia State,0,5
2022,Georgia Tech,1,0
2022,Hawai'i,1,0
2022,Houston,0,3
2022,Idaho,0,0
2022,Illinois,0,1
2022,Indiana,0,5
2022,Iowa,0,10
2022,Iowa State,0,6
2022,Jacksonville State,0,0
2022,James Madison,1,0
2022,Kansas,0,1
2022,Kansas State,0,3
2022,Kennesaw State,0,0
2022,Kent State,0,4
2022,Kentucky,0,9
2022,LSU,1,0
2022,Liberty,0,3
2022,Louisiana,1,0
2022,Louisiana Tech,1,0
2022,Louisville,0,3
2022,Marshall,0,1
2022,Maryland,0,3
2022,Massachusetts,1,0
2022,Memphis,0,2
2022,Miami,1,0
2022,Miami (OH),0,8
2022,Michigan,0,7
2022,Michigan State,0,2
2022,Middle Tennessee,0,10
2022,Minnesota,0,5
2022,Mississippi State,0,2
2022,Missouri,0,2
2022,Missouri State,0,0
2022,NC State,0,9
2022,Navy,0,10
2022,Nebraska,1,0
2022,Nevada,1,0
2022,New Mexico,0,2
2022,New Mexico State,1,0
2022,North Carolina,0,3
2022,North Dakota State,0,0
2022,North Texas,0,6
2022,Northern Illinois,0,3
2022,Northwestern,0,10
2022,Notre Dame,1,0
2022,Ohio,0,1
2022,Ohio State,0,3
2022,Oklahoma,1,0
2022,Oklahoma State,0,10
2022,Old Dominion,0,2
2022,Ole Miss,0,2
2022,Oregon,1,0
2022,Oregon State,0,4
2022,Penn State,0,8
2022,Pittsburgh,0,7
2022,Purdue,0,5
2022,Rice,0,4
2022,Rutgers,0,2
2022,SMU,1,0
2022,Sacramento State,0,0
2022,Sam Houston,0,0
2022,San Diego State,0,2
2022,San José State,0,5
2022,South Alabama,0,1
2022,South Carolina,0,1
2022,South Florida,0,2
2022,Southern Miss,0,1
2022,Stanford,0,10
2022,Syracuse,0,6
2022,TCU,1,0
2022,Temple,1,0
2022,Tennessee,0,1
2022,Texas,0,1
2022,Texas A&M,0,4
2022,Texas State,0,3
2022,Texas Tech,1,0
2022,Toledo,0,7
2022,Troy,1,0
2022,Tulane,0,6
2022,Tulsa,0,7
2022,UAB,1,0
2022,UCF,0,1
2022,UCLA,0,4
2022,UConn,1,0
2022,UL Monroe,0,1
2022,UNLV,0,2
2022,USC,1,0
2022,UTEP,0,4
2022,UTSA,0,2
2022,Utah,0,10
2022,Utah State,0,1
